,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2023-07-10,104976.7408567404,95757.12709836924,105807.51204674502,93922.9836585
2023-07-11,105393.8662007404,96485.59709836924,106454.17128324501,94519.6836585
2023-07-12,105938.42025224041,97222.43784686923,105590.66651424502,95277.7136585
2023-07-13,105971.74282224038,97667.97925024887,104798.59651424501,96031.3236585
2023-07-14,106461.8340582404,98138.52611224889,103028.34100534127,95971.6536585
2023-07-17,106650.4299122404,97768.45787624888,103905.72662334127,96303.1536585
2023-07-18,106388.09991224039,97748.33589124888,105127.44958884126,97016.9836585
2023-07-19,106005.24010274038,97680.7643422489,105277.35099884127,97231.3536585
2023-07-20,105740.85669424038,97171.3828162489,104751.51494884126,96588.2436585
2023-07-21,105518.51271424038,97495.20281624889,103577.10042034127,96588.2436585
2023-07-24,105384.66298224038,97503.73480974889,104211.97409584126,97019.1936585
2023-07-25,104895.30800398791,98177.50152824887,103795.33988584125,97282.1836585
2023-07-26,104843.94599498792,98165.54152824885,106414.50487884127,97297.6536585
2023-07-27,103033.14019798792,97351.90689466754,105347.32773184129,96654.5436585
2023-07-28,103322.43705798792,97849.37478616755,107588.76773184126,97598.2136585
2023-07-31,103683.59151298791,98206.87469266754,108136.77779258633,97781.64365849999
2023-08-01,103772.76280498794,97426.12051014544,106284.15165538633,97503.1836585
2023-08-02,102417.55280498794,95265.77519814545,105712.20498338633,96150.6636585
2023-08-03,102494.35930460994,95323.05038364544,106348.32739988633,95876.6236585
2023-08-04,102550.52099460992,93064.96929864545,106562.38229788633,95445.6736585
2023-08-07,103606.77631460992,94727.57756564545,107117.00329638633,96274.4236585
2023-08-08,103576.29138260992,94399.86210864545,107241.077929585,95858.9436585
2023-08-09,102324.26954560992,93039.74301264544,106550.24410269968,95220.2536585
2023-08-10,101779.59310560992,92944.70301264543,106414.11837869968,95253.4036585
2023-08-11,100941.4476991099,92174.45241374767,106862.8183786997,95198.1536585
2023-08-14,101660.9046851099,92681.32443624764,105618.06437869968,95721.9236585
2023-08-15,101026.90248810992,92107.70935674765,103449.88183619919,94610.2936585
2023-08-16,99723.87640160992,91080.02484763876,102557.88921996682,93918.56365849999
2023-08-17,98008.66370427594,89827.13593163875,102620.07414446681,93204.7336585
2023-08-18,98232.57958766728,89563.09699972984,102683.70505896679,93248.9336585
2023-08-21,98604.55202866728,90039.84808022983,102014.55745446682,93854.4736585
2023-08-22,98758.9120286673,89828.15765122982,101514.60793446681,93600.3236585
2023-08-23,100082.46039666729,90897.18765122982,101491.25644296681,94641.2336585
2023-08-24,99037.59565666728,90073.08765122983,100881.11353446679,93332.9136585
2023-08-25,99329.97738116728,90572.13765122982,101264.0308769668,93989.2836585
2023-08-28,100000.58328516727,91163.55619122981,101744.2208769668,94581.56365849999
2023-08-29,101379.57808516729,92492.8358177298,102149.3508769668,95945.1336585
2023-08-30,101653.48940116727,92900.9325937298,102852.93378496681,96338.5136585
2023-08-31,101118.42895893927,93289.00080972981,102983.84818496679,96199.2836585
2023-09-01,100747.97823693928,92525.1657092298,104171.10348859627,96378.2936585
2023-09-05,99992.13401293929,91711.45775322983,103729.77997959628,95962.81365849999
