,"3 folds (2022-24, as shipped)","6 folds (2019-24, extended)",SPY over 2022-24,SPY over 2019-24
2022-12-15,93864.24718172706,142553.29726932908,82274.0736585,166920.527125
2022-12-16,93112.18374667881,141051.2238318291,81306.09365849999,164949.527125
2022-12-19,92261.24974817882,140203.3547828433,80618.7836585,163550.027125
2022-12-20,92345.3274401788,140955.22970559925,80729.2836585,163775.027125
2022-12-21,93691.27204067881,143187.20410359927,81931.52365850001,166223.027125
2022-12-22,92632.57605467881,140882.96098988317,80766.8536585,163851.527125
2022-12-23,93134.92533991906,141884.90282088317,81230.9536585,164796.527125
2022-12-27,92600.8147224551,140567.11593491546,80910.5036585,164144.027125
2022-12-28,91576.27901211493,138588.32649761837,79909.3736585,162105.527125
2022-12-29,92804.23784966713,140437.63077961837,81341.4536585,165021.527125
2022-12-30,92393.92375716713,140299.49986178742,81129.2936585,164589.527125
2023-01-03,91659.99981066716,138817.92191829195,80788.9536585,163896.527125
2023-01-04,92532.27326409795,139611.64412251575,81409.9636585,165161.027125
2023-01-05,91912.00748832403,139028.8506940095,80483.9736585,163275.527125
2023-01-06,93778.4380679017,141979.15241700952,82322.6936585,167019.527125
2023-01-09,93374.4003594017,142217.64893876624,82276.2836585,166925.027125
2023-01-10,93794.34346020535,143323.28247096625,82850.8836585,168095.027125
2023-01-11,94266.58517670532,143943.3020319536,83894.0036585,170219.027125
2023-01-12,94164.25723689947,144310.11844645365,84198.9836585,170840.027125
2023-01-13,94246.00141138001,144187.36699893515,84523.8536585,171501.527125
2023-01-17,93738.70963988002,144248.13207503554,84369.1536585,171186.527125
2023-01-18,92433.62809288001,142496.82865053558,83043.1536585,168486.527125
2023-01-19,91833.65757088004,141789.78297253558,82439.8236585,167258.027125
2023-01-20,91969.37774909973,142328.72294903555,83971.3536585,170376.527125
2023-01-23,91807.83572709972,142598.35535903557,84974.6936585,172419.527125
2023-01-24,92160.18821458577,142877.02306206664,84884.08365849999,172235.027125
2023-01-25,92699.29941858575,142999.13872173394,84915.02365850001,172298.027125
2023-01-26,92958.28726558576,143462.76955773393,85845.4336585,174192.527125
