,v1  CLS price,—   CLS price+v3,v4  CLS price+insider,—   CLS price+v3+insider,v2  REG price,v3  REG price+v3,—   REG price+insider,—   REG price+v3+insider,mom 20d,SPY
2023-03-23,82156.74069395084,98291.03985636766,99226.47335904486,101741.20893116384,85367.13669469037,100107.55888012623,74025.03505217114,109555.73385538242,96556.36910076055,83714.9936585
2023-03-24,82486.02973045083,97927.34457836763,100758.46005954486,103558.56893116384,86140.50223280505,101331.35096710801,74960.77292967115,111200.9360703824,96670.76590476054,84263.0736585
2023-03-27,82702.05063045082,98617.96790711765,101249.65916054486,103868.52481216383,86474.61313280505,103473.78955074007,76506.24862082803,113662.95361584894,96072.13859326055,84419.9836585
2023-03-28,83671.11792704658,99281.58090011765,101698.66550504486,104141.11389766385,86588.76345330506,103394.94828924004,76767.92074782804,114090.08254234894,95630.92291426056,84229.9236585
2023-03-29,84301.12278454658,99770.14477611765,102752.69776204485,105011.10529216385,87018.07794930504,106372.48828924005,78567.11559632805,117084.50054234895,97421.18322376053,85449.84365849999
2023-03-30,84526.17675404658,100469.14386861766,103025.23634954487,105402.73597716386,87129.38901130506,105038.48968924004,78276.01418272805,116729.15854234893,98033.50258065877,85949.30365850001
2023-03-31,85649.06286704657,101482.50775561765,104406.55614454487,106221.18452416387,87726.68694780505,105288.25901674005,79113.26527522804,117449.03454234895,99540.12158915876,87155.9636585
2023-04-03,86371.28261454657,102017.09283561763,105275.29614454486,106766.26452416385,88011.38694780503,104446.39901674003,78652.41457922803,116349.93654234894,98888.04916690876,87487.4636585
2023-04-04,86191.70261454656,101890.16283561767,104534.82614454487,106473.00860352465,86494.20316925093,101569.00049559052,76326.52336163123,113993.25490799063,98853.26069010877,87003.4736585
2023-04-05,85062.39213479686,101362.32180773729,105234.62804754486,106823.01861552465,85950.26244375094,100912.33257759051,75150.17106013124,113940.34199749061,97261.65069010876,86775.84365849999
2023-04-06,84856.01358129685,101446.48343773729,105444.19354354487,106880.28587502465,86037.94826860096,101115.02697159053,75341.36188613124,114638.33796489061,97429.48219110878,87113.9736585
2023-04-10,85385.44358129684,101710.17512373731,105902.28352954483,106861.30193152463,86910.46331710095,101690.00545659053,76391.90905363123,114903.61874639061,97723.99963360876,87202.3736585
